v1,v2,v3,experiment
0.3487,6.2,0.0296,1
0.3487,6.2,0.0296,1
0.3487,6.2,0.0196,1
0.8487,6.3,0.0696,1
0.5487,6.3,0.0496,1
0.4487,6.5,0.0296,1
0.6487,6.4,0.0596,1
0.7487,6.3,0.0696,1
0.7487,6.2,0.0596,1
0.4487,6.3,0.0396,1
0.2487,6.1,0.0296,1
0.2487,6.2,0.0296,1
0.4487,6.4,0.0396,1
0.6487,6.5,0.0496,1
0.6487,6.5,0.0596,1
0.6487,6.4,0.0396,1
0.4487,6.3,0.0396,1
0.4487,6.5,0.0396,1
0.4487,6.5,0.0396,1
0.6487,6.9,0.0496,1
0.4487,6.8,0.0396,1
0.5487,6.8,0.0596,1
0.4487,6.2,0.0296,1
0.6487,6.1,0.0496,1
0.4487,6.0,0.0396,1
0.2487,6.1,0.0196,1
0.4487,6.0,0.0396,1
0.4487,6.2,0.0296,1
0.5487,6.3,0.0396,1
0.2487,6.0,0.0196,1
0.5487,6.1,0.0496,1
0.4487,6.0,0.0296,1
0.2487,6.3,0.0196,1
0.3487,6.1,0.0296,1
0.4487,6.4,0.0396,1
0.5487,6.3,0.0396,1
0.5487,6.3,0.0496,1
0.4487,6.3,0.0396,1
0.4487,6.3,0.0396,1
0.2487,6.3,0.0196,1
0.5487,6.3,0.0496,1
0.2487,6.3,0.0296,1
0.6487,7.5,0.0496,1
0.5487,7.4,0.0396,1
0.4487,7.1,0.0396,1
0.4487,7.3,0.0396,1
1.1487,7.3,0.0796,1
0.4487,7.2,0.0296,1
0.7487,7.3,0.0396,1
0.4487,7.3,0.0296,1
0.6487,7.3,0.0596,1
0.4487,6.2,0.0296,1
0.4487,6.3,0.0296,1
0.4487,6.5,0.0496,1
0.5487,6.4,0.0496,1
0.3487,6.6,0.0296,1
0.3487,7.1,0.0396,1
0.4487,6.5,0.0396,1
0.4487,6.7,0.0396,1
0.6487,6.5,0.0396,1
0.8487,7.0,0.0496,1
0.6487,6.3,,2
0.5487,6.0,,2
0.3487,6.4,,2
0.5487,6.3,,2
0.6487,6.6,,2
0.6487,6.6,,2
0.5487,6.7,,2
0.4487,6.3,,2
0.2487,6.2,,2
0.4487,6.4,,2
0.5487,6.5,,2
0.4487,6.6,,2
1.1487,7.3,0.0896,3
0.5487,6.8,0.0496,3
0.5487,7.4,0.0496,3
0.5487,7.2,0.0496,3
0.5487,7.2,0.0596,3
0.7487,7.5,0.0496,3
0.4487,7.4,0.0296,3
0.4487,7.5,0.0296,3
1.4487,7.4,0.1096,3
0.8487,7.4,0.0596,3
0.4487,7.4,0.0396,3
0.4487,7.3,0.0396,3
0.4487,7.3,0.0296,3
0.5487,7.4,0.0396,3
